Nom,Masse_Terre,Rayon_Terre,Temp_Etoile_K,Periode_Orbitale_Jours,Distance_AL,Habitable
Kepler-6 b,212.31044,14.616536,5647.0,3.2346996,1914.6629208399997,0
Kepler-32 c,158.9,2.0,3900.0,8.7522,1056.2464213199999,0
Kepler-29 c,4.5,2.34,5378.0,13.28613,2715.35306992,0
Kepler-20 c,11.1,2.894,5495.0,10.8540774,921.5961782799999,0
Kepler-52 b,135.0,2.1,4075.0,7.8773565,1048.72852552,0
K2-280 b,37.1,7.5,5500.0,19.89526,1277.0214177199998,0
K2-222 b,7.5,2.275,5942.0,15.3889274,330.46452075999997,0
K2-216 b,8.0,1.75,4503.0,2.1748,376.58297916,0
K2-295 b,106.47305,10.054473,4444.0,4.024867,759.2944295599999,0
K2-157 b,1.14,0.935,5334.0,0.3652575,973.1614418799999,1
EPIC 201595106 b,7.67,1.565,5679.0,0.87724,757.008076,0
K2-263 b,15.4,2.513,5368.0,50.819172,529.94153036,0
EPIC 229004835 b,10.4,2.332,5868.0,16.141132,397.81573476,0
G 9-40 b,4.0,1.9,3395.0,5.7459982,91.087543056,0
HD 80653 b,5.72,1.613,5959.0,0.719573,358.31498159999995,0
Kepler-21 b,7.5,1.639,6305.0,2.7858212,353.95101432,0
Kepler-8 b,187.5197,15.871944,6213.0,3.5224991,3332.8903172,0
HD 73344 b,10.48,2.884,6252.6,15.611,115.00260559999998,0
2MASS J12073346-3932539 b,1652.7077164,15.69257298,,,209.74440048,0
55 Cnc e,7.99,1.875,5172.0,0.7365474,41.04836338,0
CoRoT-10 b,874.0,10.87,5075.0,13.2406,1103.66624216,0
CoRoT-11 b,740.51,16.03,6440.0,2.99433,2136.44247772,0
CoRoT-12 b,291.438,16.14,5675.0,2.828042,3673.7233371999996,0
CoRoT-13 b,415.704,9.92,5945.0,4.03519,3747.3041308,0
CoRoT-14 b,2415.4,12.22,6035.0,1.51214,5690.117576,0
CoRoT-17 b,772.29,11.43,5740.0,3.7681,3835.9859471999994,0
CoRoT-18 b,1102.82,14.68,5440.0,1.9000693,2494.7313668399997,0
CoRoT-19 b,352.78,14.46,6090.0,3.89713,2578.79481428,0
CoRoT-1 b,327.35,16.7,5950.0,1.5089557,2569.81247804,0
CoRoT-23 b,889.9,11.77,5900.0,3.6313,3460.4173132,0
CoRoT-2 b,1102.82,16.432,5625.0,1.7429935,695.63530148,0
CoRoT-3 b,6883.91,11.32,6740.0,4.2568,2507.3927427599997,0
CoRoT-4 b,228.83,13.34,6190.0,9.20205,2369.23632272,0
CoRoT-5 b,148.42,15.558,6100.0,4.0378962,2878.23537632,0
CoRoT-6 b,940.74,13.068,6090.0,8.886593,2104.66509864,0
CoRoT-7 b,4.07660518,1.68135,5275.0,0.85359163,521.54301336,0
Kepler-24 c,9.99,2.514,6028.0,12.33,3773.0052235999997,0
CoRoT-8 b,69.92,6.39,5080.0,6.21229,1050.3429977199999,0
CoRoT-9 b,266.9772,11.948794,5625.0,95.272656,1346.9590488,0
CT Cha b,5403.0,24.66,,,622.0447231999999,0
GJ 1214 b,8.41,2.733,3101.0,1.580404531,47.758044612,0
GJ 436 b,22.1,4.17,,2.64388312,31.810679607599997,0
GQ Lup b,6356.0,33.6,,,493.04676364,0
HAT-P-12 b,67.059,10.749,4650.0,3.2130598,465.59095156,0
HAT-P-13 b,270.462,14.258,,2.91625,804.9856235999999,0
HAT-P-14 b,1093.3352,15.91678,6600.0,4.62767,726.22873428,0
HAT-P-15 b,616.5902,11.88154,5568.0,10.8635,627.9024849599999,0
HAT-P-17 b,184.3414,11.76945,5246.0,10.33852,301.31302363599997,0
HAT-P-18 b,62.61,11.153,4803.0,5.508023,526.415784,0
HAT-P-19 b,88.03846874,11.29865255,4962.0,4.00878322,659.08952168,0
HAT-P-1 b,166.86075,14.784671,5980.0,4.46529976,518.5195472400001,0
HAT-P-20 b,2302.899,9.718,4595.0,2.875317,231.692742344,0
HAT-P-21 b,1547.8321,12.44199,5588.0,4.12448,904.35883368,0
HAT-P-22 b,785.0401,12.89035,5302.0,3.21222,266.680474932,0
HAT-P-23 b,664.237,15.334,5905.0,1.212884,1189.8594882799998,0
HAT-P-24 b,238.3725,14.5717,6373.0,3.35524,1354.6693766399999,0
HAT-P-25 b,180.84527,12.722215,5519.0,3.65281514,979.72043904,0
HAT-P-26 b,22.2481,7.06167,5079.0,4.23452,462.6098857199999,0
HAT-P-27 b,197.05,11.43,5316.0,3.039577,649.61468988,0
HAT-P-28 b,198.953,13.585,5680.0,3.257215,1308.9259976399999,0
HAT-P-29 b,279.6904,13.11453,6087.0,5.72319,1022.74693856,0
HAT-P-30 b,263.7989,16.14096,6304.0,2.8106,697.9249166,0
HAT-P-31 b,721.4741,12.21781,6065.0,5.00542,1122.139718,0
HAT-P-32 b,216.1244,22.19382,6001.0,2.1500082,943.2594597999998,0
HAT-P-33 b,292.4036,20.73665,6446.0,3.47447,1291.9365315999999,0
HAT-P-34 b,1058.3739,13.417173,6442.0,5.452654,813.1884469999999,0
HAT-P-35 b,335.62848,14.930388,6096.0,3.646706,1653.4967653999997,0
HAT-P-36 b,587.413406,14.313893,5620.0,1.32734683,960.2652336399999,0
HAT-P-37 b,371.528,13.204,5500.0,2.797436,1273.9457666399999,0
HAT-P-3 b,206.5895,10.53646,5185.0,2.8997,438.85594424,0
HAT-P-4 b,213.255,14.28,5860.0,3.056536,1045.17016356,0
HAT-P-5 b,311.4734,13.56289,5960.0,2.78849,989.34856416,0
HAT-P-6 b,419.5356,16.58932,6570.0,3.85298,898.0966384799999,0
HAT-P-8 b,406.8224,15.6926,6200.0,3.07634,689.99280268,0
HAT-P-9 b,238.05467,15.614137,6350.0,3.92281072,1484.67189668,0
HD 118203 b,680.15279098,12.778238,5742.0,6.1349779,300.907937884,0
HD 136352 b,4.72,1.664,5664.0,11.57797,47.88622392,0
HD 136352 c,11.24,2.916,5664.0,27.59221,47.88622392,0
HD 136352 d,8.82,2.562,5664.0,107.245,47.88622392,0
HD 149026 b,120.7754,8.29466,6179.0,2.87589,247.435966308,0
HD 17156 b,1036.12060682,12.26262489,6046.0,21.2164294,254.68315262799996,0
HD 189733 b,359.1479,12.66617,5052.0,2.21857567,64.460819528,0
HD 209458 b,232.0159,15.58051,6091.0,3.52474859,157.538566496,0
HD 80606 b,1323.46926959,11.56766808,5565.0,111.436765,216.79948091600002,0
HD 97658 b,8.3,2.12,5212.0,9.4897116,70.325104408,0
HR 8799 b,2000.0,13.0,,170000.0,134.520106796,0
HR 8799 c,3000.0,13.0,,69000.0,134.520106796,0
HR 8799 d,3000.0,13.0,,37000.0,134.520106796,0
HR 8799 e,3178.3,13.11453,7400.0,,134.520106796,0
Lupus-TR-3 b,257.431,9.976,5000.0,3.91405,2522.5198580399997,0
OGLE2-TR-L9 b,1430.175,18.046,6933.0,2.4855335,5308.6129028,0
OGLE-TR-10 b,197.046,14.011,5950.0,3.101278,4386.7003532,0
OGLE-TR-113 b,400.449,12.251,4790.0,1.4324752,1847.5400160399997,0
OGLE-TR-132 b,375.02,13.45,6210.0,1.689868,6564.2808872,0
OGLE-TR-182 b,320.995,12.666,5924.0,3.9791,8159.60773,0
OGLE-TR-211 b,327.351,15.244,6325.0,3.67724,4942.1114056,0
OGLE-TR-56 b,441.77,15.278,6050.0,1.2119189,,0
Qatar-1 b,411.27202,12.811887,5013.0,1.4200242,605.3944594,0
